packageNames,numDependents,numDependencies,numVersions,weeklyDownloads,unpackedSize,totalFiles,issues,pullRequests,lastPublished,scores,,rawUnpackedSize,rawLastPublished,,unpackedSizePowerOf1024,,unpackedSizeConstant
lodash.merge,"6,779",0,37,"35,103,948",54.1,4,74,41,0,80,,54.1 kB,5 years ago,,0,,54.1
lru-cache,"7,117",0,142,"187,323,509",808,17,4,1,1,87,,808 kB,2 months ago,,0,,808
moment-timezone,"10,551",1,63,"9,467,798",2928.64,22,72,4,2,94,,2.86 MB,19 days ago,,1,,2.86
figlet,11161,0,26,"1,939,160",6277.12,622,18,1,2,88,,6.13 MB,16 days ago,,1,,6.13
optimize-css-assets-webpack-plugin,4666,3,27,"1,795,062",18,36,27,15,0,70,,18 kB,3 years ago,,0,,18
iconv-lite,6060,1,51,"82,069,611",349,33,54,17,0,73,,349 kB,3 years ago,,0,,349
bunyan,4931,4,112,"1,752,245",201,6,227,63,0,67,,201 kB,4 years ago,,0,,201
gulp-uglify,2763,10,31,"340,475",12.8,10,13,4,0,56,,12.8 kB,6 years ago,,0,,12.8
history,5665,1,101,"6,628,195",121,21,109,15,0,76,,121 kB,3 years ago,,0,,121
readline-sync,4091,0,65,"1,980,205",133,9,0,0,0,55,,133 kB,5 years ago,,0,,133
pluralize,5463,0,34,"10,897,791",17.7,4,32,23,0,74,,17.7 kB,5 years ago,,0,,17.7
url,5158,2,11,"19,920,366",78.3,9,12,4,1,84,,78.3 kB,3 months ago,,0,,78.3
log4js,4041,5,152,"4,780,655",160,33,80,12,0,84,,160 kB,2 years ago,,0,,160
cli-table,3274,1,15,"2,932,206",17.3,5,12,6,0,76,,17.3 kB,3 years ago,,0,,17.3
webpack-merge,5476,3,91,"12,928,830",49.5,21,1,5,1,84,,49.5 kB,4 months ago,,0,,49.5
archiver,5019,7,83,"9,797,650",43.1,9,131,16,1,89,,43.1 kB,7 months ago,,0,,43.1
babel-register,2888,7,50,"1,797,484",-1,-1,626,148,0,82,,-1,7 years ago,,undefined,,0
eslint-config-airbnb,4855,3,61,"3,693,433",81.7,20,93,70,0,85,,81.7 kB,3 years ago,,0,,81.7
clone,4446,0,38,"34,830,110",15.9,6,24,4,0,70,,15.9 kB,7 years ago,,0,,15.9
jsonfile,4083,2,25,"60,636,223",19.8,6,3,2,0,74,,19.8 kB,4 years ago,,0,,19.8
puppeteer,7757,6,904,"3,861,687",341,43,259,14,2,83,,341 kB,8 days ago,,0,,341
shortid,4374,1,31,"891,475",21,15,15,1,0,39,,21 kB,4 years ago,,0,,21
@babel/plugin-proposal-class-properties,6167,2,65,"15,965,634",3.34,4,626,148,0,72,,3.34 kB,2 years ago,,0,,3.34
querystring,4624,0,5,"16,368,764",9.39,10,13,3,0,91,,9.39 kB,4 years ago,,0,,9.39
serve-static,4020,4,66,"35,190,298",25.4,5,9,5,1,86,,25.4 kB,a month ago,,0,,25.4
tslint,3324,13,182,"1,984,727",1935.36,513,1,0,0,50,,1.89 MB,4 years ago,,1,,1.89
pug,4382,8,40,"1,506,416",59.7,6,295,23,1,84,,59.7 kB,5 months ago,,0,,59.7
config,5868,1,118,"1,365,605",94.4,9,49,16,1,80,,94.4 kB,4 months ago,,0,,94.4
source-map,4892,0,68,"169,005,929",226,18,40,22,0,85,,226 kB,2 years ago,,0,,226
antd,11858,49,849,"1,571,832",48435.2,3675,1155,68,2,95,,47.3 MB,4 days ago,,1,,47.3
concat-stream,2961,4,37,"21,675,484",9.56,4,11,7,0,74,,9.56 kB,6 years ago,,0,,9.56
element-ui,11642,6,164,"190,861",9472,999,2525,316,0,68,,9.25 MB,a year ago,,1,,9.25
lodash.get,5703,0,13,"12,748,326",-1,-1,74,41,0,80,,-1,8 years ago,,undefined,,0
@babel/preset-react,9424,6,85,"14,585,455",12.2,5,626,148,2,95,,12.2 kB,2 days ago,,0,,12.2
serve-favicon,2730,5,21,"2,106,421",14.9,5,0,2,0,69,,14.9 kB,7 years ago,,0,,14.9
stylus,2347,5,183,"2,698,626",366,143,249,19,2,97,,366 kB,5 days ago,,0,,366
date-fns,19556,0,204,"22,973,251",23142.4,5326,564,189,1,88,,22.6 MB,a month ago,,1,,22.6
