numDependents,numDependencies,numVersions,weeklyDownloads,unpackedSize,totalFiles,issues,pullRequests,lastPublished,scores
994,-1,8,29927242,9.26,5,-1,-1,-1,0
7259,1,56,54642837,18.3,5,-1,-1,1,0
1625,-1,2,29716874,-1,-1,-1,-1,-1,0
1489,-1,7,30895848,-1,-1,-1,-1,-1,0
7790,6,905,3763879,351,43,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
55093,1,74,281227266,42.1,7,-1,-1,1,0
9278,-1,24,230672683,6.72,4,-1,-1,-1,0
1435,4,24,12755096,10.7,6,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
2105,-1,60,47070053,83.3,41,-1,-1,2,0
55093,1,74,281227266,42.1,7,-1,-1,1,0
9278,-1,24,230672683,6.72,4,-1,-1,-1,0
2513,2,22,97187083,28.4,13,-1,-1,1,0
2705,2,27,39677240,8.76,9,-1,-1,1,0
1007,2,31,15660412,96.3,5,-1,-1,-1,0
655,-1,24,20797919,16.8,8,-1,-1,1,0
188,1,12,14916715,29.8,8,2,2,-1,0
212,-1,6,15044624,-1,-1,-1,-1,-1,0
4717,-1,20,18489881,15.5,7,49,23,-1,0
907,8,28,9583202,23.7,8,23,14,1,0
1004,1,28,67820474,31.2,12,23,14,1,0
55093,1,74,281227266,42.1,7,58,21,1,0
9278,-1,24,230672683,6.72,4,18,10,-1,0
55093,1,74,281227266,42.1,7,58,21,1,0
9278,-1,24,230672683,6.72,4,18,10,-1,0
1287,2,25,49488760,23.3,8,23,14,1,0
1004,1,28,67820474,31.2,12,23,14,1,0
55093,1,74,281227266,42.1,7,58,21,1,0
9278,-1,24,230672683,6.72,4,18,10,-1,0
3810,2,35,66287553,34.9,12,23,14,1,0
1004,1,28,67820474,31.2,12,23,14,1,0
55093,1,74,281227266,42.1,7,58,21,1,0
9278,-1,24,230672683,6.72,4,18,10,-1,0
7128,-1,143,180312023,808,17,4,1,2,0
312,8,24,9053499,33.5,8,23,14,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
1004,1,28,67820474,31.2,12,23,14,1,0
55093,1,74,281227266,42.1,7,58,21,1,0
9278,-1,24,230672683,6.72,4,18,10,-1,0
318,4,21,9021600,44.3,31,23,14,1,0
408,-1,112,7408888,136,31,8,3,1,0
477,-1,19,16549917,16.8,16,23,14,1,0
55093,1,74,281227266,42.1,7,58,21,1,0
9278,-1,24,230672683,6.72,4,-1,-1,-1,0
68912,3,96,102145264,54.9,31,-1,-1,-1,0
4786,-1,67,58200174,32.5,7,-1,-1,-1,0
4086,2,25,59304069,19.8,6,-1,-1,-1,0
4786,-1,67,58200174,32.5,7,-1,-1,-1,0
1456,-1,8,79140517,4.67,4,-1,-1,-1,0
1456,-1,8,79140517,4.67,4,-1,-1,-1,0
1287,2,25,49488760,23.3,8,-1,-1,1,0
3810,2,35,66287553,34.9,12,-1,-1,1,0
303,2,25,8957229,61.9,64,-1,-1,1,0
286,3,28,8809684,27.1,15,-1,-1,-1,0
813,1,172,22100429,484,66,-1,-1,-1,0
124175,-1,46,231767996,90.4,14,-1,-1,2,0
2619,4,60,30886018,109,6,-1,-1,-1,0
3672,-1,46,45232412,314,7,-1,-1,-1,0
2777,-1,34,87511661,37.1,6,-1,-1,-1,0
2145,-1,13,41809677,50.6,7,-1,-1,-1,0
4903,-1,68,160846397,226,18,-1,-1,-1,0
3672,-1,46,45232412,314,7,-1,-1,-1,0
506,-1,10,8904689,32.5,10,-1,-1,-1,0
891,3,31,23167896,24.8,8,-1,-1,1,0
695,-1,5,35449355,29.5,7,-1,-1,-1,0
891,3,31,23167896,24.8,8,-1,-1,1,0
1004,1,28,67820474,31.2,12,-1,-1,1,0
55093,1,74,281227266,42.1,7,-1,-1,1,0
9278,-1,24,230672683,6.72,4,-1,-1,-1,0
642,2,49,20628579,156,32,-1,-1,1,0
362,-1,51,14783938,177,48,-1,-1,2,0
835,-1,4,33728601,-1,-1,-1,-1,-1,0
3058,-1,8,55809966,39.9,11,-1,-1,-1,0
531,-1,32,19132436,138,14,-1,-1,-1,0
31340,-1,108,333107129,95.8,52,-1,-1,1,0
1151,2,62,17805938,16.9,4,-1,-1,1,0
16,3,47,4458411,1126.4,21,-1,-1,2,0
48,-1,17,7096676,20.2,5,-1,-1,1,0
24,1,11,4398716,35.4,9,-1,-1,1,0
23,1,12,3907226,19.4,5,-1,-1,2,0
241,3,62,8253847,50.8,4,-1,-1,1,0
24,1,11,4398716,35.4,9,-1,-1,1,0
19,-1,31,4459044,710,22,-1,-1,2,0
